condition,incident_id,family,depth,provenance,edge_loss,rwh,descendant_recall,descendant_precision,bsr,rts,false_repair_rate,uer,drr,oh_fhir_reads,oh_model_calls,oh_replays,oh_writes,n_true_contaminated,n_neutralised,n_touched,n_clean,n_retained,n_repaired,n_followups,n_wrong_followups,oh_wall_seconds,oh_capsules,oh_capsule_bytes,oh_rounds
I,INC-F3-T-ID-03-d4-targeted-s0,F3,4,targeted,0.75,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,20,12,3,3,3,3,6,6,3,2,0,0.0592,12.0,11542.0,2.0
A,INC-F3-T-ID-08-d4-complete-s0,F3,4,complete,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.4,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
B,INC-F3-T-ID-08-d4-complete-s0,F3,4,complete,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
C,INC-F3-T-ID-08-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0,0,0,0,3,3,9,6,0,0,2,0,,,,
D,INC-F3-T-ID-08-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,6,3,0,3,3,3,6,6,0,2,0,0.0427,12.0,11618.0,3.0
E,INC-F3-T-ID-08-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,10,6,3,3,3,3,6,6,3,2,0,0.0476,12.0,11618.0,3.0
F,INC-F3-T-ID-08-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0,0,0,0,3,3,9,6,0,0,2,0,0.078,30.0,27660.0,2.0
G,INC-F3-T-ID-08-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,0.75,0.8333333333333334,1.0,0.0,1.0,1.0,0,0,0,0,3,3,4,6,5,0,2,0,,,,
H,INC-F3-T-ID-08-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6,4,3,3,3,3,3,6,6,3,2,0,,,,
I,INC-F3-T-ID-08-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,20,12,3,3,3,3,6,6,3,2,0,0.0608,12.0,11618.0,2.0
A,INC-F3-T-ID-08-d4-random20-s0,F3,4,random20,0.25,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.4,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
B,INC-F3-T-ID-08-d4-random20-s0,F3,4,random20,0.25,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
C,INC-F3-T-ID-08-d4-random20-s0,F3,4,random20,0.25,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0,0,0,0,3,3,9,6,0,0,2,0,,,,
D,INC-F3-T-ID-08-d4-random20-s0,F3,4,random20,0.25,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,0,0,0,0,3,0,0,6,6,0,2,0,0.0105,3.0,2571.0,1.0
E,INC-F3-T-ID-08-d4-random20-s0,F3,4,random20,0.25,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,0,0,0,0,3,0,0,6,6,0,2,0,0.0096,3.0,2571.0,1.0
F,INC-F3-T-ID-08-d4-random20-s0,F3,4,random20,0.25,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0,0,0,0,3,3,9,6,0,0,2,0,0.0812,30.0,27565.0,2.0
G,INC-F3-T-ID-08-d4-random20-s0,F3,4,random20,0.25,0.0,1.0,0.75,0.8333333333333334,1.0,0.0,1.0,1.0,0,0,0,0,3,3,4,6,5,0,2,0,,,,
H,INC-F3-T-ID-08-d4-random20-s0,F3,4,random20,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6,4,3,3,3,3,3,6,6,3,2,0,,,,
I,INC-F3-T-ID-08-d4-random20-s0,F3,4,random20,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,20,12,3,3,3,3,6,6,3,2,0,0.0644,12.0,11534.0,2.0
A,INC-F3-T-ID-08-d4-random40-s0,F3,4,random40,0.375,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.4,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
B,INC-F3-T-ID-08-d4-random40-s0,F3,4,random40,0.375,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
C,INC-F3-T-ID-08-d4-random40-s0,F3,4,random40,0.375,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0,0,0,0,3,3,9,6,0,0,2,0,,,,
D,INC-F3-T-ID-08-d4-random40-s0,F3,4,random40,0.375,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,0,0,0,0,3,0,0,6,6,0,2,0,0.0115,3.0,2574.0,1.0
E,INC-F3-T-ID-08-d4-random40-s0,F3,4,random40,0.375,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,0,0,0,0,3,0,0,6,6,0,2,0,0.0086,3.0,2574.0,1.0
F,INC-F3-T-ID-08-d4-random40-s0,F3,4,random40,0.375,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0,0,0,0,3,3,9,6,0,0,2,0,0.0841,30.0,27588.0,2.0
G,INC-F3-T-ID-08-d4-random40-s0,F3,4,random40,0.375,0.0,1.0,0.75,0.8333333333333334,1.0,0.0,1.0,1.0,0,0,0,0,3,3,4,6,5,0,2,0,,,,
H,INC-F3-T-ID-08-d4-random40-s0,F3,4,random40,0.375,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6,4,3,3,3,3,3,6,6,3,2,0,,,,
I,INC-F3-T-ID-08-d4-random40-s0,F3,4,random40,0.375,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,20,12,3,3,3,3,6,6,3,2,0,0.0615,12.0,11548.0,2.0
A,INC-F3-T-ID-08-d4-random60-s0,F3,4,random60,0.625,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.4,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
B,INC-F3-T-ID-08-d4-random60-s0,F3,4,random60,0.625,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
C,INC-F3-T-ID-08-d4-random60-s0,F3,4,random60,0.625,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0,0,0,0,3,3,9,6,0,0,2,0,,,,
D,INC-F3-T-ID-08-d4-random60-s0,F3,4,random60,0.625,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,0,0,0,0,3,0,0,6,6,0,2,0,0.0106,3.0,2578.0,1.0
E,INC-F3-T-ID-08-d4-random60-s0,F3,4,random60,0.625,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,0,0,0,0,3,0,0,6,6,0,2,0,0.0082,3.0,2578.0,1.0
F,INC-F3-T-ID-08-d4-random60-s0,F3,4,random60,0.625,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0,0,0,0,3,3,9,6,0,0,2,0,0.0835,30.0,27564.0,2.0
G,INC-F3-T-ID-08-d4-random60-s0,F3,4,random60,0.625,0.0,1.0,0.75,0.8333333333333334,1.0,0.0,1.0,1.0,0,0,0,0,3,3,4,6,5,0,2,0,,,,
H,INC-F3-T-ID-08-d4-random60-s0,F3,4,random60,0.625,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6,4,3,3,3,3,3,6,6,3,2,0,,,,
I,INC-F3-T-ID-08-d4-random60-s0,F3,4,random60,0.625,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,20,12,3,3,3,3,6,6,3,2,0,0.062,12.0,11560.0,2.0
A,INC-F3-T-ID-08-d4-targeted-s0,F3,4,targeted,0.75,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.4,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
B,INC-F3-T-ID-08-d4-targeted-s0,F3,4,targeted,0.75,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
C,INC-F3-T-ID-08-d4-targeted-s0,F3,4,targeted,0.75,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0,0,0,0,3,3,9,6,0,0,2,0,,,,
D,INC-F3-T-ID-08-d4-targeted-s0,F3,4,targeted,0.75,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.25,0.0,3,2,1,0,3,1,1,6,6,0,2,0,0.0239,6.0,5723.0,2.0
E,INC-F3-T-ID-08-d4-targeted-s0,F3,4,targeted,0.75,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.2222222222222222,0.0,6,4,2,1,3,1,1,6,6,1,2,0,0.0239,6.0,5723.0,2.0
F,INC-F3-T-ID-08-d4-targeted-s0,F3,4,targeted,0.75,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0,0,0,0,3,3,9,6,0,0,2,0,0.0793,30.0,27579.0,2.0
G,INC-F3-T-ID-08-d4-targeted-s0,F3,4,targeted,0.75,0.0,1.0,0.75,0.8333333333333334,1.0,0.0,1.0,1.0,0,0,0,0,3,3,4,6,5,0,2,0,,,,
H,INC-F3-T-ID-08-d4-targeted-s0,F3,4,targeted,0.75,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6,4,3,3,3,3,3,6,6,3,2,0,,,,
I,INC-F3-T-ID-08-d4-targeted-s0,F3,4,targeted,0.75,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,20,12,3,3,3,3,6,6,3,2,0,0.0654,12.0,11546.0,2.0
A,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
B,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
C,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,7,6,0,0,2,0,,,,
D,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,2,1,0,1,1,1,6,6,0,2,0,0.023,6.0,6100.0,2.0
E,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,4,2,1,1,1,1,6,6,1,2,0,0.0244,6.0,6100.0,2.0
F,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0,0,0,0,1,1,3,6,4,0,2,0,0.0461,12.0,12313.0,2.0
G,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1.0,0,0,0,0,1,1,3,6,4,0,2,0,,,,
H,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,6,6,1,2,0,,,,
I,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,8,4,1,1,1,1,6,6,1,2,0,0.0389,6.0,6100.0,2.0
A,INC-F4-T-ID-04-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
B,INC-F4-T-ID-04-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
C,INC-F4-T-ID-04-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,7,6,0,0,2,0,,,,
D,INC-F4-T-ID-04-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,6,6,0,2,0,0.012,3.0,3035.0,1.0
E,INC-F4-T-ID-04-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,6,6,0,2,0,0.0121,3.0,3035.0,1.0
F,INC-F4-T-ID-04-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0,0,0,0,1,1,3,6,4,0,2,0,0.0461,12.0,12220.0,2.0
G,INC-F4-T-ID-04-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1.0,0,0,0,0,1,1,3,6,4,0,2,0,,,,
H,INC-F4-T-ID-04-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,6,6,1,2,0,,,,
I,INC-F4-T-ID-04-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,8,4,1,1,1,1,6,6,1,2,0,0.0363,6.0,6064.0,2.0
A,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
B,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
C,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,7,6,0,0,2,0,,,,
D,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,6,6,0,2,0,0.0136,3.0,3029.0,1.0
E,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,6,6,0,2,0,0.0104,3.0,3029.0,1.0
F,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0,0,0,0,1,1,3,6,4,0,2,0,0.0472,12.0,12221.0,2.0
G,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1.0,0,0,0,0,1,1,3,6,4,0,2,0,,,,
H,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,6,6,1,2,0,,,,
I,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,8,4,1,1,1,1,6,6,1,2,0,0.0432,6.0,6063.0,2.0
A,INC-F4-T-ID-04-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
B,INC-F4-T-ID-04-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
C,INC-F4-T-ID-04-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,7,6,0,0,2,0,,,,
D,INC-F4-T-ID-04-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,6,6,0,2,0,0.0149,3.0,3024.0,1.0
E,INC-F4-T-ID-04-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,6,6,0,2,0,0.0105,3.0,3024.0,1.0
F,INC-F4-T-ID-04-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0,0,0,0,1,1,3,6,4,0,2,0,0.0504,12.0,12245.0,2.0
G,INC-F4-T-ID-04-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1.0,0,0,0,0,1,1,3,6,4,0,2,0,,,,
H,INC-F4-T-ID-04-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,6,6,1,2,0,,,,
I,INC-F4-T-ID-04-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,8,4,1,1,1,1,6,6,1,2,0,0.0367,6.0,6058.0,2.0
A,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
B,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
C,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,7,6,0,0,2,0,,,,
D,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,6,6,0,2,0,0.015,3.0,3046.0,1.0
E,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,6,6,0,2,0,0.0119,3.0,3046.0,1.0
F,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0,0,0,0,1,1,3,6,4,0,2,0,0.0501,12.0,12284.0,2.0
G,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1.0,0,0,0,0,1,1,3,6,4,0,2,0,,,,
H,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,6,6,1,2,0,,,,
I,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,8,4,1,1,1,1,6,6,1,2,0,0.0365,6.0,6093.0,2.0
A,INC-F4-T-LAB-01-d3-complete-s0,F4,3,complete,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
B,INC-F4-T-LAB-01-d3-complete-s0,F4,3,complete,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
C,INC-F4-T-LAB-01-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,7,6,0,0,2,0,,,,
D,INC-F4-T-LAB-01-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,2,1,0,1,1,1,6,6,0,2,0,0.0302,6.0,6300.0,2.0
E,INC-F4-T-LAB-01-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,4,2,1,1,1,1,6,6,1,2,0,0.0252,6.0,6300.0,2.0
F,INC-F4-T-LAB-01-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0,0,0,0,1,1,3,6,4,0,2,0,0.0476,12.0,12370.0,2.0
G,INC-F4-T-LAB-01-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1.0,0,0,0,0,1,1,3,6,4,0,2,0,,,,
H,INC-F4-T-LAB-01-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,6,6,1,2,0,,,,
I,INC-F4-T-LAB-01-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,8,4,1,1,1,1,6,6,1,2,0,0.0377,6.0,6300.0,2.0
A,INC-F4-T-LAB-01-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
B,INC-F4-T-LAB-01-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
C,INC-F4-T-LAB-01-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,7,6,0,0,2,0,,,,
D,INC-F4-T-LAB-01-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,2,1,0,1,1,1,6,6,0,2,0,0.0241,6.0,6286.0,2.0
E,INC-F4-T-LAB-01-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,4,2,1,1,1,1,6,6,1,2,0,0.025,6.0,6286.0,2.0
F,INC-F4-T-LAB-01-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0,0,0,0,1,1,3,6,4,0,2,0,0.0476,12.0,12357.0,2.0
G,INC-F4-T-LAB-01-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1.0,0,0,0,0,1,1,3,6,4,0,2,0,,,,
H,INC-F4-T-LAB-01-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,6,6,1,2,0,,,,
I,INC-F4-T-LAB-01-d3-random20-s0,F4,3,random20,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,8,4,1,1,1,1,6,6,1,2,0,0.0346,6.0,6286.0,2.0
A,INC-F4-T-LAB-01-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
B,INC-F4-T-LAB-01-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
C,INC-F4-T-LAB-01-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,7,6,0,0,2,0,,,,
D,INC-F4-T-LAB-01-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,2,1,0,1,1,1,6,6,0,2,0,0.0275,6.0,6277.0,2.0
E,INC-F4-T-LAB-01-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,4,2,1,1,1,1,6,6,1,2,0,0.0259,6.0,6277.0,2.0
F,INC-F4-T-LAB-01-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0,0,0,0,1,1,3,6,4,0,2,0,0.0459,12.0,12353.0,2.0
G,INC-F4-T-LAB-01-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1.0,0,0,0,0,1,1,3,6,4,0,2,0,,,,
H,INC-F4-T-LAB-01-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,6,6,1,2,0,,,,
I,INC-F4-T-LAB-01-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,8,4,1,1,1,1,6,6,1,2,0,0.0366,6.0,6277.0,2.0
A,INC-F4-T-LAB-01-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
B,INC-F4-T-LAB-01-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
C,INC-F4-T-LAB-01-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,7,6,0,0,2,0,,,,
D,INC-F4-T-LAB-01-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,2,1,0,1,1,1,6,6,0,2,0,0.0232,6.0,6275.0,2.0
E,INC-F4-T-LAB-01-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,4,2,1,1,1,1,6,6,1,2,0,0.0292,6.0,6275.0,2.0
F,INC-F4-T-LAB-01-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0,0,0,0,1,1,3,6,4,0,2,0,0.0448,12.0,12355.0,2.0
G,INC-F4-T-LAB-01-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1.0,0,0,0,0,1,1,3,6,4,0,2,0,,,,
H,INC-F4-T-LAB-01-d3-random60-s0,F4,3,random60,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,6,6,1,2,0,,,,
